Date,Date_ID,Weekday_ID,Weekday_Desc,Week_ID,Week_Name,Week_Desc,Month_ID,Fiscal_Period_ID,Month_Name,Month_Desc,Calendar_Quarter_ID,Calendar_Quarter_Name,Calendar_Quarter_Desc,Calendar_Year_ID
1/1/2019,20190101,2,Tuesday,1,W01,Week 01,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/2/2019,20190102,3,Wednesday,1,W01,Week 01,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/3/2019,20190103,4,Thursday,1,W01,Week 01,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/4/2019,20190104,5,Friday,1,W01,Week 01,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/5/2019,20190105,6,Saturday,1,W01,Week 01,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/6/2019,20190106,7,Sunday,1,W01,Week 01,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/7/2019,20190107,1,Monday,2,W02,Week 02,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/8/2019,20190108,2,Tuesday,2,W02,Week 02,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/9/2019,20190109,3,Wednesday,2,W02,Week 02,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/10/2019,20190110,4,Thursday,2,W02,Week 02,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/11/2019,20190111,5,Friday,2,W02,Week 02,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/12/2019,20190112,6,Saturday,2,W02,Week 02,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/13/2019,20190113,7,Sunday,2,W02,Week 02,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/14/2019,20190114,1,Monday,3,W03,Week 03,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/15/2019,20190115,2,Tuesday,3,W03,Week 03,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/16/2019,20190116,3,Wednesday,3,W03,Week 03,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/17/2019,20190117,4,Thursday,3,W03,Week 03,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/18/2019,20190118,5,Friday,3,W03,Week 03,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/19/2019,20190119,6,Saturday,3,W03,Week 03,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/20/2019,20190120,7,Sunday,3,W03,Week 03,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/21/2019,20190121,1,Monday,4,W04,Week 04,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/22/2019,20190122,2,Tuesday,4,W04,Week 04,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/23/2019,20190123,3,Wednesday,4,W04,Week 04,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/24/2019,20190124,4,Thursday,4,W04,Week 04,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/25/2019,20190125,5,Friday,4,W04,Week 04,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/26/2019,20190126,6,Saturday,4,W04,Week 04,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/27/2019,20190127,7,Sunday,4,W04,Week 04,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/28/2019,20190128,1,Monday,5,W05,Week 05,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/29/2019,20190129,2,Tuesday,5,W05,Week 05,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/30/2019,20190130,3,Wednesday,5,W05,Week 05,1,1,January,19-Jan,1,Q1,Quarter 1,2019
1/31/2019,20190131,4,Thursday,5,W05,Week 05,1,1,January,19-Jan,1,Q1,Quarter 1,2019
2/1/2019,20190201,5,Friday,5,W05,Week 05,2,2,February,19-Feb,1,Q1,Quarter 1,2019
2/2/2019,20190202,6,Saturday,5,W05,Week 05,2,2,February,19-Feb,1,Q1,Quarter 1,2019
2/3/2019,20190203,7,Sunday,5,W05,Week 05,2,2,February,19-Feb,1,Q1,Quarter 1,2019
2/4/2019,20190204,1,Monday,6,W06,Week 06,2,2,February,19-Feb,1,Q1,Quarter 1,2019
2/5/2019,20190205,2,Tuesday,6,W06,Week 06,2,2,February,19-Feb,1,Q1,Quarter 1,2019
2/6/2019,20190206,3,Wednesday,6,W06,Week 06,2,2,February,19-Feb,1,Q1,Quarter 1,2019
2/7/2019,20190207,4,Thursday,6,W06,Week 06,2,2,February,19-Feb,1,Q1,Quarter 1,2019
2/8/2019,20190208,5,Friday,6,W06,Week 06,2,2,February,19-Feb,1,Q1,Quarter 1,2019
2/9/2019,20190209,6,Saturday,6,W06,Week 06,2,2,February,19-Feb,1,Q1,Quarter 1,2019
2/10/2019,20190210,7,Sunday,6,W06,Week 06,2,2,February,19-Feb,1,Q1,Quarter 1,2019
2/11/2019,20190211,1,Monday,7,W07,Week 07,2,2,February,19-Feb,1,Q1,Quarter 1,2019
2/12/2019,20190212,2,Tuesday,7,W07,Week 07,2,2,February,19-Feb,1,Q1,Quarter 1,2019
2/13/2019,20190213,3,Wednesday,7,W07,Week 07,2,2,February,19-Feb,1,Q1,Quarter 1,2019
